frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,field_x,field_y,timestamp_sec
0,2,1781,660,1883,797,1832,797,1382.1522216796875,507.7595520019531,0.0
0,3,472,689,537,800,504,800,412.1124267578125,488.1311950683594,0.0
0,6,1005,653,1090,839,1047,839,810.515625,589.4330444335938,0.0
1,2,1780,659,1883,797,1831,797,1381.43798828125,507.7395935058594,0.03333333333333333
1,3,492,689,536,796,514,796,417.2890319824219,478.27655029296875,0.03333333333333333
1,6,1005,654,1089,839,1047,839,810.515625,589.4330444335938,0.03333333333333333
2,2,1779,657,1883,796,1831,796,1382.419189453125,505.3149719238281,0.06666666666666667
2,3,490,689,536,796,513,796,416.5383605957031,478.2555236816406,0.06666666666666667
2,6,1004,653,1089,838,1046,838,809.8911743164062,587.2369384765625,0.06666666666666667
3,2,1778,662,1883,797,1830,797,1380.7237548828125,507.7196350097656,0.1
3,3,489,689,536,796,512,796,415.7876281738281,478.2344970703125,0.1
3,6,1005,655,1089,838,1047,838,810.5803833007812,587.2545776367188,0.1
4,2,1778,664,1882,797,1830,797,1380.7237548828125,507.7196350097656,0.13333333333333333
4,3,490,689,536,796,513,796,416.5383605957031,478.2555236816406,0.13333333333333333
4,6,1005,655,1089,837,1047,837,810.6453857421875,585.0694580078125,0.13333333333333333
5,2,1777,664,1882,797,1829,797,1380.0093994140625,507.69964599609375,0.16666666666666666
5,3,489,688,536,796,512,796,415.7876281738281,478.2344970703125,0.16666666666666666
5,6,1005,653,1089,838,1047,838,810.5803833007812,587.2545776367188,0.16666666666666666
6,2,1776,665,1883,797,1829,797,1380.0093994140625,507.69964599609375,0.2
6,3,491,687,535,796,513,796,416.5383605957031,478.2555236816406,0.2
6,6,1005,652,1089,838,1047,838,810.5803833007812,587.2545776367188,0.2
7,2,1775,665,1883,796,1829,796,1380.9884033203125,505.27490234375,0.23333333333333334
7,3,469,686,538,800,503,800,411.36639404296875,488.1104736328125,0.23333333333333334
7,6,1004,652,1089,838,1046,838,809.8911743164062,587.2369384765625,0.23333333333333334
8,2,1775,664,1885,797,1830,797,1380.7237548828125,507.7196350097656,0.26666666666666666
8,3,396,752,475,885,435,885,410.1302490234375,673.7437744140625,0.26666666666666666
8,6,1005,657,1091,838,1048,838,811.2695922851562,587.272216796875,0.26666666666666666
9,2,1775,662,1872,796,1823,796,1376.6951904296875,505.15460205078125,0.3
9,3,396,756,474,885,435,885,410.1302490234375,673.7437744140625,0.3
9,6,1003,658,1090,838,1046,838,809.8911743164062,587.2369384765625,0.3
10,2,1775,660,1867,796,1821,796,1375.263916015625,505.114501953125,0.3333333333333333
10,3,397,758,475,884,436,884,410.27447509765625,671.823486328125,0.3333333333333333
10,6,1003,658,1090,838,1046,838,809.8911743164062,587.2369384765625,0.3333333333333333
11,2,1775,657,1864,796,1819,796,1373.83251953125,505.07440185546875,0.36666666666666664
11,3,397,759,475,885,436,885,410.7863464355469,673.7589721679688,0.36666666666666664
11,6,1002,658,1089,838,1045,838,809.2019653320312,587.2192993164062,0.36666666666666664
12,2,1774,655,1862,795,1818,795,1374.0865478515625,502.6209716796875,0.4
12,3,398,759,474,885,436,885,410.7863464355469,673.7589721679688,0.4
12,6,1002,658,1089,837,1045,837,809.2648315429688,585.0341186523438,0.4
13,2,1772,652,1862,795,1817,795,1373.36962890625,502.6008605957031,0.43333333333333335
13,3,398,756,475,884,436,884,410.27447509765625,671.823486328125,0.43333333333333335
13,6,1002,658,1089,838,1045,838,809.2019653320312,587.2192993164062,0.43333333333333335
14,2,1773,654,1877,797,1825,797,1377.15185546875,507.6197814941406,0.4666666666666667
