frame,track_id,class,x,y,x1,y1,x2,y2
0,1,0,1062,1026,1022,828,1102,1026
0,2,16,1587,868,1546,741,1628,868
0,3,0,931,831,896,679,966,831
0,4,16,1463,787,1428,672,1499,787
0,5,0,34,914,0,747,68,914
0,6,0,23,906,0,764,47,906
1,1,0,1061,1026,1022,828,1101,1026
1,2,16,1587,868,1546,741,1628,868
1,3,0,931,831,896,679,966,831
1,4,16,1463,787,1428,672,1499,787
1,5,0,34,915,0,746,68,915
1,6,0,23,906,0,765,47,906
2,1,0,1061,1026,1023,829,1100,1026
2,2,16,1587,868,1546,741,1628,868
2,3,0,931,831,896,680,966,831
2,4,16,1464,787,1429,672,1499,787
2,5,0,34,915,0,744,69,915
2,6,0,23,906,0,762,47,906
3,1,0,1062,1026,1024,830,1100,1026
3,2,16,1587,868,1546,741,1628,868
3,3,0,931,831,896,681,966,831
3,4,16,1466,788,1428,672,1505,788
3,5,0,35,916,0,742,70,916
3,6,0,24,906,0,759,48,906
4,1,0,1062,1026,1025,830,1099,1026
4,2,16,1587,868,1546,741,1628,868
4,3,0,931,831,896,680,966,831
4,4,16,1464,787,1428,672,1501,787
4,5,0,34,916,0,744,69,916
4,6,0,24,905,0,765,49,905
5,1,0,1063,1026,1026,830,1100,1026
5,2,16,1587,868,1546,741,1628,868
5,3,0,931,831,896,681,966,831
5,4,16,1464,787,1429,672,1499,787
5,5,0,34,913,0,744,69,913
5,6,0,24,905,0,759,49,905
6,1,0,1063,1026,1026,830,1100,1026
6,2,16,1587,868,1546,741,1628,868
6,3,0,931,831,896,681,966,831
6,4,16,1462,787,1428,672,1497,787
6,5,0,32,910,0,745,64,910
7,1,0,1064,1027,1027,830,1101,1027
7,2,16,1587,868,1546,741,1628,868
7,3,0,931,830,896,681,966,830
7,4,16,1462,787,1428,672,1496,787
7,5,0,33,910,0,747,66,910
8,1,0,1065,1026,1029,830,1101,1026
8,2,16,1587,868,1546,741,1628,868
8,3,0,930,830,896,681,965,830
8,4,16,1462,787,1428,672,1496,787
8,5,0,33,909,0,749,66,909
9,1,0,1066,1026,1030,831,1102,1026
9,2,16,1587,867,1546,741,1628,867
9,3,0,931,831,896,684,967,831
9,4,16,1458,785,1427,672,1490,785
9,5,0,34,911,0,748,69,911
10,1,0,1066,1026,1030,832,1102,1026
10,2,16,1587,867,1546,741,1628,867
10,3,0,931,830,896,682,966,830
10,4,16,1465,787,1428,672,1502,787
10,5,0,34,911,0,747,69,911
11,1,0,1066,1026,1030,832,1102,1026
11,2,16,1587,867,1546,741,1628,867
11,3,0,932,831,896,684,968,831
11,4,16,1467,788,1428,672,1506,788
11,5,0,34,912,0,747,69,912
12,1,0,1065,1026,1030,832,1101,1026
12,2,16,1587,866,1546,741,1628,866
12,3,0,932,831,896,684,969,831
12,4,16,1468,788,1428,672,1508,788
12,5,0,34,912,0,748,69,912
13,1,0,1066,1026,1031,832,1101,1026
13,2,16,1587,866,1546,741,1628,866
13,3,0,931,829,896,683,967,829
13,4,16,1468,788,1428,672,1508,788
13,5,0,34,913,0,748,69,913
14,1,0,1066,1026,1031,832,1101,1026
