frame,x,y,xg,yg,area,diam
10,215.84302325581396,569.8633720930233,214.0,580.0,344,22.0
11,215.41952506596306,571.4881266490765,214.0,582.0,379,22.0
12,215.703125,573.9479166666666,214.0,585.0,384,23.0
13,217.19941348973606,577.782991202346,214.0,589.0,341,24.0
14,217.94610778443115,582.6377245508982,214.0,593.0,334,21.0
15,218.95375722543352,587.9739884393064,214.0,599.0,346,22.0
16,219.3030303030303,596.0909090909091,214.0,607.0,330,22.0
17,219.80407124681935,605.9262086513995,221.0,634.0,393,42.0
18,219.28832116788323,618.0656934306569,219.5,636.0,548,35.0
19,219.53103448275863,643.244827586207,219.0,651.0,290,24.0
20,238.46170212765958,645.4914893617022,230.5,664.0,470,37.0
21,344.2198795180723,586.4427710843373,345.0,596.0,332,22.0
22,387.23746701846966,581.1451187335092,385.0,592.0,379,23.0
23,431.72289156626505,574.6295180722891,431.5,584.0,332,22.0
24,475.2415902140673,569.8409785932722,477.0,579.0,327,21.0
25,519.9420731707318,565.0853658536586,520.5,575.0,328,21.0
26,565.563492063492,561.6560846560847,566.0,573.0,378,24.0
27,610.9119170984455,558.4326424870467,612.0,568.0,386,23.0
28,654.2556390977444,556.7669172932331,655.0,568.0,399,23.0
29,699.8151658767772,555.431279620853,698.5,567.0,422,24.0
30,745.3315649867374,555.7347480106101,746.0,567.0,377,23.0
31,790.7350835322196,558.219570405728,792.5,569.0,419,23.0
32,835.3609022556391,560.3934837092731,837.0,569.0,399,25.0
33,879.1090909090909,561.730303030303,876.5,570.0,330,21.0
34,922.739247311828,567.2043010752689,921.5,577.0,372,27.0
35,966.9556786703602,572.6648199445983,967.0,584.0,361,24.0
36,1009.2910052910053,579.1428571428571,1008.5,590.0,378,22.0
37,1052.176605504587,585.8967889908257,1052.5,599.0,436,34.0
38,1094.2422611036338,590.892328398385,1089.5,603.0,743,42.0
39,1131.3392156862744,599.878431372549,1128.0,613.0,510,28.0
40,1173.2628992628993,610.6658476658477,1173.5,622.0,407,36.0
41,1211.5063613231553,619.6081424936386,1213.5,629.0,393,22.0
42,1249.5054054054053,629.6918918918919,1249.5,639.0,370,22.0
43,1286.6573604060914,640.746192893401,1286.0,651.0,394,24.0
44,1324.2693333333334,652.96,1323.5,663.0,375,24.0
45,1360.0,665.4540059347181,1360.0,674.0,337,21.0
46,1395.2951807228915,678.4518072289156,1397.5,688.0,332,21.0
47,1429.2120141342757,692.4628975265018,1429.0,701.0,283,20.0
48,1439.7016393442623,684.2163934426229,1443.0,695.0,305,21.0
49,1434.0,638.7507598784194,1435.5,649.0,329,21.0
50,1434.1301587301587,638.7968253968254,1434.5,648.0,315,20.0
51,1431.4495412844037,617.1422018348624,1432.5,625.0,218,17.0
52,1425.8108108108108,605.706081081081,1420.5,618.0,296,29.0
53,1425.2119402985074,582.7194029850747,1428.0,590.0,335,28.0
54,1420.6637168141592,564.5870206489675,1423.0,574.0,339,20.0
55,1415.931343283582,530.9582089552239,1416.5,541.0,335,22.0
56,1409.3386004514673,515.9458239277652,1413.0,529.0,443,33.0
57,1405.2237093690248,512.6462715105163,1413.0,522.0,523,35.0
58,1404.181959564541,511.9144634525661,1413.5,522.0,643,52.0
59,1403.632218844985,511.46200607902733,1413.5,522.0,658,50.0
60,,,,,0,0.0
61,1393.769716088328,455.2902208201893,1398.0,467.0,317,23.0
62,1399.9050925925926,448.75,1398.5,458.0,432,29.0
63,1401.0765306122448,449.0637755102041,1402.0,457.0,392,27.0
64,1401.7460732984293,449.0366492146597,1402.5,457.0,382,25.0
65,1400.8199052132702,448.7369668246445,1402.0,457.0,422,27.0
66,1374.923076923077,421.5418060200669,1379.0,431.0,299,20.0
67,1371.513353115727,417.24035608308606,1375.5,427.0,337,21.0
68,1368.5,413.27814569536423,1370.5,422.0,302,19.0
69,1365.8616714697407,412.6772334293948,1368.0,421.0,347,24.0
70,1361.479695431472,411.44162436548226,1361.0,422.0,394,23.0
71,1356.943820224719,410.85393258426967,1357.0,421.0,356,21.0
72,1353.6863905325445,411.5917159763314,1354.0,422.0,338,21.0
73,1353.8414985590778,411.46109510086455,1354.5,422.0,347,22.0
74,1346.0392156862745,415.2156862745098,1353.0,425.0,306,21.0
75,1342.0378548895899,418.5331230283912,1339.5,427.0,317,24.0
76,1339.5436893203882,423.7540453074434,1335.0,432.0,309,22.0
77,1339.8714285714286,427.72857142857146,1336.5,436.0,350,27.0
78,1329.3731343283582,435.3258706467662,1333.5,445.0,402,25.0
79,1335.7658536585366,441.6341463414634,1334.0,448.0,205,21.0
80,1333.1910994764398,449.4947643979058,1332.5,458.0,382,27.0
81,1333.8476821192053,457.5298013245033,1324.0,462.0,151,30.0
82,1346.5931034482758,474.4758620689655,1343.5,479.0,290,47.0
83,1312.4098360655737,482.3377049180328,1315.0,492.0,305,22.0
84,1312.1833740831296,494.83129584352076,1312.5,504.0,409,25.0
85,1305.7063953488373,505.44476744186045,1310.5,513.0,344,30.0
86,1303.5943204868154,522.3874239350913,1310.6666666666667,533.0,493,30.0
87,1294.4230055658627,537.517625231911,1298.5,548.0,539,32.0
88,1291.072607260726,551.9075907590759,1290.5,560.0,303,22.0
89,1288.1450151057402,569.3111782477341,1287.0,579.0,331,21.0
90,1282.8062157221207,590.762340036563,1283.5,604.0,547,28.0
91,1279.4971098265896,599.5279383429672,1279.0,612.0,519,28.0
92,1276.0,625.004555808656,1279.0,637.0,439,24.0
93,1271.5675,641.4475,1270.5,653.0,400,26.0
94,1267.3762886597938,662.8788659793814,1266.0,673.0,388,23.0
95,1263.2955801104972,667.4723756906077,1257.5,677.0,362,22.0
96,1261.5976331360946,643.8668639053254,1261.0,653.0,338,24.0
97,1258.141689373297,622.4604904632153,1257.5,633.0,367,23.0
98,,,,,0,0.0
99,1252.7164179104477,576.0179104477612,1254.5,585.0,335,23.0
100,1250.1390532544378,555.603550295858,1252.5,565.0,338,21.0
101,1247.6608478802993,538.2418952618453,1249.0,549.0,401,23.0
102,1245.2992518703243,517.216957605985,1248.0,529.0,401,24.0
103,1242.829081632653,501.13520408163265,1243.5,513.0,392,24.0
104,1241.153039832285,484.9454926624738,1247.5,497.0,477,25.0
105,1238.6435185185185,467.74768518518516,1240.5,478.0,432,23.0
106,1236.2936507936508,452.7936507936508,1236.5,462.0,378,22.0
107,1232.7692307692307,436.92657342657344,1231.0,446.0,286,21.0
108,1230.9813664596272,428.3167701863354,1233.5,439.0,322,23.0
109,1228.8682795698924,414.80913978494624,1233.0,427.0,372,24.0
110,1225.9939209726444,404.82978723404256,1233.0,416.0,329,23.0
111,1224.184065934066,396.0274725274725,1227.0,407.0,364,23.0
112,1218.8076923076924,388.19038461538463,1220.0,400.0,520,26.0
113,1219.2177985948479,379.2295081967213,1221.0,390.0,427,23.0
114,1215.2210796915167,372.0539845758355,1216.0,382.0,389,24.0
115,1212.233502538071,367.3096446700508,1213.5,377.0,394,23.0
116,1209.4179487179488,362.35641025641024,1207.5,373.0,390,23.0
117,1208.01312335958,361.2703412073491,1203.0,375.0,381,28.0
118,1206.2582159624412,359.6807511737089,1203.0,375.0,426,31.0
119,1205.1525,358.8475,1203.0,375.0,400,32.0
120,1202.6985413290113,355.9141004862237,1203.0,374.0,617,33.0
121,1201.3060344827586,356.9978448275862,1203.0,374.0,464,31.0
122,1198.9148936170213,358.4872340425532,1203.0,374.0,470,30.0
123,1195.091517857143,357.86607142857144,1203.0,373.0,448,29.0
124,1193.7858823529411,362.6941176470588,1198.0,374.0,425,24.0
125,1190.2451193058569,370.5986984815618,1189.5,382.0,461,25.0
126,1185.2514071294559,375.2607879924953,1185.5,387.0,533,27.0
127,1186.2847100175748,382.9297012302285,1181.5,398.0,569,29.0
128,1182.9229208924949,391.8397565922921,1183.0,404.0,493,26.0
129,1180.6988416988418,402.16409266409266,1181.5,416.0,518,29.0
130,1178.2083333333333,410.9953703703704,1181.0,421.0,432,24.0
131,1176.6325167037862,422.76837416481067,1179.0,433.0,449,25.0
132,1175.9430894308944,433.9329268292683,1174.0,446.0,492,25.0
133,1176.285132382892,448.23828920570264,1173.5,459.0,491,28.0
134,1159.4170124481327,464.30497925311204,1152.5,475.0,482,30.0
135,1162.836291913215,481.40039447731755,1173.0,493.0,507,28.0
136,1162.251461988304,498.07212475633526,1158.5,510.0,513,27.0
137,1160.6205250596659,514.4653937947494,1159.0,526.0,419,23.0
138,1159.1854838709678,534.8346774193549,1160.5,547.0,496,26.0
139,1158.464,552.2453333333333,1161.0,562.0,375,23.0
140,1156.9132321041216,575.7830802603037,1158.5,589.0,461,26.0
141,1152.953488372093,595.572450805009,1154.5,609.0,559,30.0
142,1151.875,621.0884615384615,1153.5,633.0,520,26.0
143,1145.334745762712,631.0360169491526,1150.0,642.0,472,27.0
144,1125.065913370998,620.1581920903955,1128.5,633.0,531,26.0
145,1102.0970724191063,612.2326656394453,1105.0,624.0,649,36.0
146,1086.7730375426622,602.8941979522184,1091.0,618.0,586,33.0
147,1065.5561497326203,596.2299465240642,1067.5,609.0,561,29.0
148,1049.4490196078432,590.3333333333334,1051.5,603.0,510,26.0
149,1029.5231092436975,584.9558823529412,1030.5,597.0,476,26.0
150,1010.7712264150944,580.502358490566,1011.0,592.0,424,24.0
151,990.8047058823529,578.2541176470588,993.5,590.0,425,24.0
152,969.6960352422908,579.2929515418502,963.0,592.0,454,26.0
153,953.2985074626865,579.1705756929638,963.0,597.0,469,32.0
154,937.1471389645776,579.4877384196185,938.5,589.0,367,23.0
155,917.2420091324201,579.0022831050228,915.0,590.0,438,29.0
156,896.1682464454976,581.7345971563981,896.5,591.0,422,24.0
157,877.4310344827586,585.2672413793103,879.0,594.0,348,23.0
158,861.3561946902655,594.1747787610619,859.0,606.0,452,24.0
159,850.4668141592921,598.929203539823,844.5,608.0,452,33.0
160,823.7846975088968,604.8078291814946,824.5,618.0,562,27.0
161,807.2561983471074,616.24173553719,807.0,630.0,484,29.0
162,790.1057082452431,625.8498942917547,789.0,637.0,473,25.0
163,772.9814385150812,637.3085846867749,775.5,649.0,431,24.0
164,757.6925,648.7225,760.0,659.0,400,24.0
165,740.0411311053984,662.1259640102828,736.0,672.0,389,24.0
166,724.7234042553191,676.8787234042553,723.5,688.0,470,26.0
167,709.2126582278481,691.2886075949367,708.5,702.0,395,23.0
168,693.9856459330143,707.2775119617224,694.5,718.0,418,24.0
169,678.6915422885572,724.2437810945273,679.5,735.0,402,24.0
170,663.6850393700787,741.2362204724409,662.5,751.0,381,25.0
171,647.8226600985222,759.884236453202,649.0,771.0,406,24.0
172,633.5986842105264,777.7017543859649,640.0,788.0,456,31.0
173,637.893175074184,759.7715133531158,625.5,770.0,337,25.0
174,646.5191815856778,734.1764705882352,644.0,743.0,391,29.0
175,651.8003663003662,717.3369963369963,656.0,737.0,546,37.0
176,656.845041322314,716.6053719008264,661.0,740.0,484,59.0
177,660.5543237250554,671.3481152993348,663.5,735.0,451,77.0
178,666.3788300835655,645.7019498607242,670.5,655.0,359,24.0
179,672.5544871794872,632.0544871794872,671.0,641.0,312,21.0
180,677.9026548672566,613.5604719764012,679.5,621.0,339,25.0
181,682.4421965317919,593.9132947976879,680.5,604.0,346,25.0
182,690.2554347826087,579.9157608695652,689.0,590.0,368,23.0
183,696.9456869009584,566.1277955271565,694.0,576.0,313,20.0
184,702.8377723970945,551.4116222760291,701.5,563.0,413,24.0
185,709.0933609958506,540.207468879668,708.0,552.0,482,25.0
186,714.8549618320611,528.6488549618321,715.5,541.0,393,24.0
187,720.4009433962265,518.1627358490566,722.5,529.0,424,24.0
188,727.70796460177,511.8871681415929,724.5,522.0,452,24.0
189,730.2671755725191,501.01526717557255,730.0,508.0,262,24.0
190,739.6541786743516,497.7550432276657,738.0,508.0,347,22.0
191,744.8166666666667,496.37,743.5,505.0,300,21.0
192,758.4776422764228,488.979674796748,752.0,504.0,492,34.0
193,764.0767634854772,486.82572614107886,758.5,499.0,482,27.0
194,766.0982456140351,480.89122807017543,762.0,489.0,285,21.0
195,772.8509615384615,478.11538461538464,769.0,484.0,208,22.0
196,776.2932960893854,481.4581005586592,776.0,492.0,358,25.0
197,786.9241379310345,478.92413793103447,783.0,489.0,145,17.0
198,792.6952380952381,479.55238095238093,790.5,485.0,105,19.0
199,802.6593959731543,489.1510067114094,798.0,503.0,596,33.0
200,806.1725239616613,491.6437699680511,801.0,506.0,626,33.0
201,814.5391705069125,498.2926267281106,816.5,509.0,434,30.0
202,817.6858638743455,506.5471204188482,806.0,517.0,382,27.0
203,821.4732620320856,514.3823529411765,820.0,525.0,374,28.0
204,827.8306997742663,523.2663656884876,827.5,535.0,443,25.0
205,836.1616871704745,536.9472759226713,836.0,555.0,569,34.0
206,845.8155515370705,546.124773960217,844.5,558.0,553,27.0
207,852.0930735930735,556.8593073593073,853.5,568.0,462,24.0
208,857.25,568.7613636363636,857.5,579.0,352,22.0
209,864.1558441558442,582.5870129870129,864.0,591.0,385,25.0
210,871.3468468468468,598.0878378378378,873.0,609.0,444,26.0
211,879.008064516129,615.3387096774194,873.0,630.0,496,30.0
212,882.7454909819639,628.6412825651303,881.5,641.0,499,30.0
