frame,x,y,xg,yg,area,diam
10,1786.6165413533834,717.5037593984962,1788.0,726.0,266,21.0
11,1786.2116182572613,716.2406639004149,1785.0,723.0,241,21.0
12,1784.2556053811659,711.4125560538116,1781.5,719.0,223,20.0
13,1782.549019607843,702.3607843137255,1781.0,710.0,255,24.0
14,1782.3491525423728,691.1830508474576,1779.5,699.0,295,41.0
15,1780.3225806451612,678.1290322580645,1783.7142857142858,685.0,310,27.0
16,1783.4496487119438,667.751756440281,1796.0,683.0,427,30.0
17,1783.773542600897,656.280269058296,1796.0,678.0,446,38.0
18,1787.1702544031311,651.7651663405088,1797.0,674.0,511,45.0
19,1791.9560975609756,658.0121951219512,1803.0,677.0,410,36.0
20,1792.726582278481,658.326582278481,1803.0,676.0,395,35.0
21,1793.3790523690773,658.9675810473816,1803.0,675.0,401,32.0
22,1795.2494226327944,663.1131639722864,1804.0,681.0,433,34.0
23,1795.015625,665.9010416666666,1803.5,682.0,384,30.0
24,1794.590909090909,669.4707792207793,1803.0,684.0,308,28.0
25,1794.408026755853,670.7859531772575,1803.5,685.0,299,27.0
26,1794.7527272727273,671.2981818181818,1803.5,685.0,275,26.0
27,1796.3252032520325,669.69918699187,1803.5,684.0,246,28.0
28,1796.2885572139303,662.6915422885572,1803.5,678.0,201,28.0
29,1799.7567567567567,658.2657657657658,1803.5,673.0,222,30.0
30,1800.9944751381215,650.182320441989,1803.5,663.0,181,25.0
31,1808.4084507042253,653.3204225352113,1804.0,665.0,284,27.0
32,1807.8967741935485,643.9483870967742,1813.75,656.0,310,27.0
33,1807.6412698412698,640.7682539682539,1818.0,655.0,315,27.0
34,1802.9327731092437,637.5252100840336,1796.5,648.0,238,31.0
35,1811.0184049079755,637.6257668711656,1818.0,645.0,163,18.0
36,1810.69375,634.05625,1812.0,639.0,160,16.0
37,1808.4349775784754,630.5874439461884,1803.0,639.0,223,20.0
38,1805.8929440389295,633.7639902676399,1810.0,645.0,411,25.0
39,1802.920814479638,635.1085972850678,1803.5,647.0,442,25.0
40,1801.868556701031,638.7242268041238,1796.0,649.0,388,24.0
41,1798.285261489699,645.7892234548336,1796.5,668.0,631,39.0
42,1766.4885844748858,680.7488584474886,1765.5,689.0,219,36.0
43,1766.9181286549708,688.5730994152046,1771.5,695.0,171,45.0
44,1791.9229629629629,658.6548148148148,1766.0,697.0,675,57.0
45,1789.937984496124,659.6957364341085,1788.0,681.0,516,39.0
46,1786.7354838709678,664.2193548387097,1788.642857142857,677.0,465,35.0
47,1780.32683982684,668.8246753246754,1766.0,685.0,462,77.0
48,1728.6458333333333,686.0166666666667,1736.5,693.0,240,31.0
49,1729.9603524229076,697.5991189427313,1734.5,702.0,227,36.0
50,1728.753846153846,708.0615384615385,1719.0,713.0,195,37.0
51,1733.2261306532664,714.070351758794,1722.5,723.0,199,30.0
52,1736.9646464646464,716.4848484848485,1728.0,729.0,198,27.0
53,1744.1301369863013,713.318493150685,1736.0,730.0,292,31.0
54,1756.004608294931,711.8479262672811,1773.5,724.0,434,43.0
55,1759.7607843137255,713.0450980392156,1773.0,725.0,510,42.0
