frame,x,y,xg,yg,area,diam
10,573.2505263157894,564.6757894736842,576.5,575.0,475,27.0
11,620.4577777777778,560.4088888888889,621.5,571.0,450,25.0
12,669.3692946058092,556.48755186722,670.0,568.0,482,25.0
13,714.79375,555.2083333333334,716.0,567.0,480,25.0
14,761.3591397849463,552.7290322580645,760.5,565.0,465,26.0
15,808.1227722772277,554.5881188118811,812.0,568.0,505,27.0
16,855.2554455445545,555.009900990099,858.0,568.0,505,27.0
17,900.1991341991342,556.478354978355,901.0,567.0,462,24.0
18,947.5073313782991,562.4545454545455,948.0,579.0,682,31.0
19,988.2514177693762,564.6899810964084,992.5,576.0,529,27.0
20,1030.8398357289527,571.4168377823408,1031.5,584.0,487,26.0
21,1072.8015717092337,578.106090373281,1071.0,590.0,509,25.0
22,1117.595600676819,585.8832487309645,1121.0,599.0,591,30.0
23,1153.8643292682927,592.608231707317,1157.0,606.0,656,28.0
24,1194.1191588785048,603.7359813084112,1197.5,616.0,428,26.0
25,1235.793450881612,613.2695214105794,1237.0,625.0,397,25.0
26,1273.0871459694988,623.4836601307189,1278.0,637.0,459,27.0
27,1310.163120567376,633.6335697399527,1308.5,645.0,423,24.0
28,1347.1636904761904,647.8452380952381,1345.5,658.0,336,21.0
29,1383.5718232044198,660.5055248618785,1381.5,671.0,362,23.0
30,1420.6623711340205,670.4329896907217,1415.5,685.0,388,30.0
31,1450.600422832981,689.3551797040169,1450.5,705.0,473,29.0
32,1482.367816091954,704.8591954022988,1481.0,715.0,348,24.0
33,1514.5663430420711,720.9546925566343,1511.0,731.0,309,21.0
34,1535.2450142450143,743.9401709401709,1526.0,761.0,351,37.0
35,1537.8485804416405,699.801261829653,1534.0,709.0,317,28.0
36,1533.9277456647399,673.528901734104,1533.5,683.0,346,21.0
37,1530.4068322981366,646.4285714285714,1529.5,656.0,322,20.0
38,1524.8254364089776,618.5810473815461,1525.5,630.0,401,23.0
39,1520.1351351351352,587.4932432432432,1517.5,592.0,148,18.0
40,1518.4122807017543,568.8362573099415,1519.0,578.0,342,21.0
41,1513.4766584766585,544.7936117936118,1514.5,555.0,407,24.0
42,1509.3480278422273,521.0417633410673,1509.5,533.0,431,27.0
43,1506.134529147982,502.7488789237668,1504.0,515.0,446,25.0
44,1501.3014861995753,483.3375796178344,1502.5,496.0,471,26.0
45,1496.0883838383838,464.4166666666667,1498.0,475.0,396,23.0
46,1492.0627705627705,445.7056277056277,1495.0,458.0,462,26.0
47,1486.9297052154195,428.5895691609977,1485.0,439.0,441,23.0
48,1483.1025641025642,413.5940170940171,1481.0,425.0,468,24.0
49,1478.6658711217183,399.3198090692124,1477.5,410.0,419,24.0
50,1474.1491395793498,387.623326959847,1480.5,401.0,523,27.0
51,1469.9533980582523,374.81553398058253,1469.5,387.0,515,27.0
52,1463.2475728155339,364.0873786407767,1463.0,374.0,412,23.0
53,1461.5171673819743,355.90557939914163,1458.5,369.0,466,27.0
54,1455.2431289640592,347.4862579281184,1458.0,360.0,473,25.0
55,1449.5228310502282,339.1552511415525,1450.5,352.0,438,26.0
56,1445.730512249443,331.0445434298441,1445.0,343.0,449,24.0
57,1442.258205689278,326.05032822757113,1443.5,338.0,457,24.0
58,1437.0950323974082,322.79913606911447,1440.5,334.0,463,26.0
59,1432.1961259079903,319.44309927360774,1432.0,330.0,413,24.0
60,1427.0845070422536,316.7464788732394,1428.0,329.0,426,25.0
61,1423.439140811456,315.0787589498807,1426.5,326.0,419,23.0
62,1419.5584415584415,316.5800865800866,1421.0,328.0,462,24.0
63,1413.5557939914163,318.1738197424893,1414.5,330.0,466,26.0
64,1408.1630901287554,320.31330472103,1413.0,333.0,466,26.0
65,1404.6511627906978,321.95581395348836,1405.5,333.0,430,24.0
66,1400.4428223844282,325.68126520681267,1399.5,337.0,411,24.0
67,1395.8765432098764,333.04938271604937,1398.0,345.0,486,27.0
68,1391.0919037199126,338.47483588621446,1393.0,350.0,457,25.0
69,1384.7667638483965,344.46938775510205,1383.5,355.0,343,22.0
70,1380.8276762402088,352.8146214099217,1376.5,364.0,383,23.0
71,1378.2665148063782,362.86788154897494,1380.5,373.0,439,28.0
72,1371.3434065934066,377.9423076923077,1374.0,386.0,364,25.0
73,1367.6438053097345,386.0619469026549,1368.0,401.0,452,28.0
74,1362.1767554479418,396.6537530266344,1361.0,406.0,413,24.0
75,1359.0566037735848,407.77358490566036,1353.5,419.0,371,23.0
76,1353.972972972973,423.5165165165165,1355.0,433.0,333,21.0
