frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,field_x,field_y,timestamp_sec
2,1,144,668,231,822,187,822,-79.6820068359375,585.5442504882812,0.06666666666666667
2,2,893,656,963,825,928,825,703.2030029296875,624.49462890625,0.06666666666666667
2,3,1399,680,1463,779,1431,779,1262.8736572265625,413.3677673339844,0.06666666666666667
2,4,1461,742,1572,861,1516,861,1288.446533203125,801.066162109375,0.06666666666666667
3,1,144,668,231,822,187,822,-79.6820068359375,585.5442504882812,0.1
3,2,893,656,963,825,928,825,703.2030029296875,624.49462890625,0.1
3,3,1399,679,1464,779,1431,779,1262.8736572265625,413.3677673339844,0.1
3,4,1461,741,1573,861,1517,861,1289.4329833984375,801.0967407226562,0.1
4,1,144,668,232,822,188,822,-78.62152862548828,585.5780639648438,0.13333333333333333
4,2,893,656,964,825,928,825,703.2030029296875,624.49462890625,0.13333333333333333
4,3,1399,679,1464,779,1431,779,1262.8736572265625,413.3677673339844,0.13333333333333333
4,4,1461,741,1573,861,1517,861,1289.4329833984375,801.0967407226562,0.13333333333333333
5,1,144,669,231,822,187,822,-79.6820068359375,585.5442504882812,0.16666666666666666
5,2,893,656,962,825,927,825,702.156005859375,624.4613037109375,0.16666666666666666
5,3,1399,680,1464,780,1431,780,1262.068603515625,418.6835632324219,0.16666666666666666
5,4,1461,741,1573,861,1517,861,1289.4329833984375,801.0967407226562,0.16666666666666666
6,1,144,669,231,822,187,822,-79.6820068359375,585.5442504882812,0.2
6,2,893,656,961,825,927,825,702.156005859375,624.4613037109375,0.2
6,3,1399,679,1464,779,1431,779,1262.8736572265625,413.3677673339844,0.2
6,4,1461,741,1573,861,1517,861,1289.4329833984375,801.0967407226562,0.2
7,1,144,669,232,822,188,822,-78.62152862548828,585.5780639648438,0.23333333333333334
7,2,893,656,962,825,927,825,702.156005859375,624.4613037109375,0.23333333333333334
7,3,1399,680,1464,780,1431,780,1262.068603515625,418.6835632324219,0.23333333333333334
7,4,1461,741,1573,861,1517,861,1289.4329833984375,801.0967407226562,0.23333333333333334
8,1,144,669,231,822,187,822,-79.6820068359375,585.5442504882812,0.26666666666666666
8,2,893,656,962,825,927,825,702.156005859375,624.4613037109375,0.26666666666666666
8,3,1399,680,1464,780,1431,780,1262.068603515625,418.6835632324219,0.26666666666666666
8,4,1461,741,1573,861,1517,861,1289.4329833984375,801.0967407226562,0.26666666666666666
9,1,144,669,231,822,187,822,-79.6820068359375,585.5442504882812,0.3
9,2,894,656,963,825,928,825,703.2030029296875,624.49462890625,0.3
9,3,1399,680,1463,779,1431,779,1262.8736572265625,413.3677673339844,0.3
9,4,1461,741,1573,861,1517,861,1289.4329833984375,801.0967407226562,0.3
10,1,144,669,232,822,188,822,-78.62152862548828,585.5780639648438,0.3333333333333333
10,2,894,655,962,825,928,825,703.2030029296875,624.49462890625,0.3333333333333333
10,3,1399,680,1462,778,1430,778,1262.560302734375,407.99755859375,0.3333333333333333
10,4,1461,741,1573,861,1517,861,1289.4329833984375,801.0967407226562,0.3333333333333333
11,1,144,669,232,822,188,822,-78.62152862548828,585.5780639648438,0.36666666666666664
11,2,894,655,964,825,929,825,704.25,624.5278930664062,0.36666666666666664
11,3,1399,679,1464,779,1431,779,1262.8736572265625,413.3677673339844,0.36666666666666664
11,4,1461,741,1573,861,1517,861,1289.4329833984375,801.0967407226562,0.36666666666666664
12,1,144,669,232,822,188,822,-78.62152862548828,585.5780639648438,0.4
12,2,894,655,965,825,929,825,704.25,624.5278930664062,0.4
12,3,1399,679,1463,779,1431,779,1262.8736572265625,413.3677673339844,0.4
12,4,1461,741,1573,861,1517,861,1289.4329833984375,801.0967407226562,0.4
13,1,144,669,232,822,188,822,-78.62152862548828,585.5780639648438,0.43333333333333335
13,2,894,655,964,825,929,825,704.25,624.5278930664062,0.43333333333333335
13,3,1399,679,1463,779,1431,779,1262.8736572265625,413.3677673339844,0.43333333333333335
13,4,1460,741,1573,861,1516,861,1288.446533203125,801.066162109375,0.43333333333333335
14,1,144,669,232,822,188,822,-78.62152862548828,585.5780639648438,0.4666666666666667
14,2,894,655,964,825,929,825,704.25,624.5278930664062,0.4666666666666667
14,3,1398,679,1463,779,1430,779,1261.7545166015625,413.330810546875,0.4666666666666667
14,4,1460,741,1573,861,1516,861,1288.446533203125,801.066162109375,0.4666666666666667
15,1,144,669,231,821,187,821,-80.98577117919922,580.7911987304688,0.5
15,2,894,655,963,825,928,825,703.2030029296875,624.49462890625,0.5
15,3,1399,679,1463,778,1431,778,1263.6812744140625,408.03460693359375,0.5
15,4,1460,741,1572,861,1516,861,1288.446533203125,801.066162109375,0.5
16,1,144,669,231,821,187,821,-80.98577117919922,580.7911987304688,0.5333333333333333
