frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,timestamp_sec
0,2,62,741,147,904,104,904,0.0
0,3,1390,682,1459,846,1424,846,0.0
0,4,1437,638,1504,765,1470,765,0.0
0,5,892,662,984,829,938,829,0.0
0,5,890,720,939,828,914,828,0.0
0,4,1440,636,1480,755,1460,755,0.0
0,3,1387,674,1489,848,1438,848,0.0
1,2,72,742,162,895,117,895,0.03333333333333333
1,3,1383,683,1444,829,1413,829,0.03333333333333333
1,4,1424,639,1503,767,1463,767,0.03333333333333333
1,5,893,660,984,829,938,829,0.03333333333333333
1,5,891,699,943,826,917,826,0.03333333333333333
1,3,1383,679,1473,841,1428,841,0.03333333333333333
2,2,80,741,171,896,125,896,0.06666666666666667
2,3,1371,681,1442,825,1406,825,0.06666666666666667
2,4,1424,637,1502,769,1463,769,0.06666666666666667
2,5,892,660,974,827,933,827,0.06666666666666667
2,5,892,675,944,826,918,826,0.06666666666666667
3,2,94,740,185,898,139,898,0.1
3,3,1348,685,1438,827,1393,827,0.1
3,4,1419,638,1502,769,1460,769,0.1
3,5,894,659,984,826,939,826,0.1
3,5,892,664,944,825,918,825,0.1
4,2,105,739,181,894,143,894,0.13333333333333333
4,3,1332,683,1436,830,1384,830,0.13333333333333333
4,4,1412,635,1497,766,1454,766,0.13333333333333333
4,5,895,658,987,826,941,826,0.13333333333333333
4,5,893,663,944,823,918,823,0.13333333333333333
5,2,108,736,191,892,149,892,0.16666666666666666
5,3,1322,683,1434,831,1378,831,0.16666666666666666
5,4,1411,638,1495,765,1453,765,0.16666666666666666
5,5,895,657,992,827,943,827,0.16666666666666666
5,5,893,674,944,823,918,823,0.16666666666666666
6,2,112,732,198,887,155,887,0.2
6,3,1316,682,1433,829,1374,829,0.2
6,4,1406,635,1492,767,1449,767,0.2
6,5,897,657,991,824,944,824,0.2
7,2,112,729,208,888,160,888,0.23333333333333334
7,3,1315,682,1420,829,1367,829,0.23333333333333334
7,4,1402,634,1490,765,1446,765,0.23333333333333334
7,5,898,657,987,822,942,822,0.23333333333333334
8,2,113,727,214,887,163,887,0.26666666666666666
8,3,1307,679,1411,827,1359,827,0.26666666666666666
8,4,1399,634,1488,767,1443,767,0.26666666666666666
8,5,898,655,974,817,936,817,0.26666666666666666
9,2,113,727,221,886,167,886,0.3
9,3,1297,677,1393,822,1345,822,0.3
9,4,1395,632,1482,767,1438,767,0.3
9,5,900,653,980,813,940,813,0.3
10,2,120,726,221,882,170,882,0.3333333333333333
10,3,1275,674,1383,822,1329,822,0.3333333333333333
10,4,1393,634,1476,765,1434,765,0.3333333333333333
10,5,900,652,981,810,940,810,0.3333333333333333
11,2,124,726,226,878,175,878,0.36666666666666664
11,3,1265,671,1359,816,1312,816,0.36666666666666664
11,4,1388,631,1469,764,1428,764,0.36666666666666664
11,5,901,650,981,807,941,807,0.36666666666666664
11,5,901,654,955,808,928,808,0.36666666666666664
12,2,133,725,231,879,182,879,0.4
12,3,1260,669,1351,813,1305,813,0.4
12,4,1381,630,1468,766,1424,766,0.4
12,5,903,649,981,800,942,800,0.4
12,5,904,650,955,799,929,799,0.4
13,2,146,726,231,878,188,878,0.43333333333333335
13,3,1249,666,1343,813,1296,813,0.43333333333333335
13,4,1377,631,1463,762,1420,762,0.43333333333333335
13,5,905,649,974,796,939,796,0.43333333333333335
14,2,165,724,230,876,197,876,0.4666666666666667
14,3,1239,661,1337,814,1288,814,0.4666666666666667
14,4,1365,628,1439,761,1402,761,0.4666666666666667
14,5,906,647,978,797,942,797,0.4666666666666667
15,2,178,721,236,874,207,874,0.5
15,3,1233,655,1328,809,1280,809,0.5
15,4,1353,627,1447,765,1400,765,0.5
15,5,908,645,982,798,945,798,0.5
15,5,909,645,961,798,935,798,0.5
16,2,180,718,252,874,216,874,0.5333333333333333
16,3,1227,655,1319,807,1273,807,0.5333333333333333
16,4,1344,626,1438,763,1391,763,0.5333333333333333
16,5,911,644,962,798,936,798,0.5333333333333333
17,2,182,715,260,872,221,872,0.5666666666666667
17,3,1217,654,1312,802,1264,802,0.5666666666666667
17,4,1342,624,1442,766,1392,766,0.5666666666666667
17,5,913,643,969,797,941,797,0.5666666666666667
18,2,187,711,269,870,228,870,0.6
18,3,1204,653,1294,797,1249,797,0.6
18,4,1340,623,1434,767,1387,767,0.6
18,5,915,644,966,797,940,797,0.6
18,5,915,645,982,797,948,797,0.6
19,2,188,707,287,871,237,871,0.6333333333333333
19,3,1192,653,1267,794,1229,794,0.6333333333333333
19,4,1342,622,1429,765,1385,765,0.6333333333333333
19,5,915,643,970,796,942,796,0.6333333333333333
20,2,193,705,301,872,247,872,0.6666666666666666
20,3,1179,651,1254,791,1216,791,0.6666666666666666
20,4,1342,621,1428,764,1385,764,0.6666666666666666
20,5,918,642,967,790,942,790,0.6666666666666666
21,2,201,705,302,871,251,871,0.7
21,3,1162,648,1264,795,1213,795,0.7
21,4,1342,622,1429,764,1385,764,0.7
21,5,921,640,968,785,944,785,0.7
22,2,208,705,300,866,254,866,0.7333333333333333
22,3,1153,649,1257,793,1205,793,0.7333333333333333
22,4,1341,623,1427,764,1384,764,0.7333333333333333
22,5,922,644,975,785,948,785,0.7333333333333333
23,2,221,705,302,863,261,863,0.7666666666666667
23,3,1146,645,1251,790,1198,790,0.7666666666666667
23,4,1339,624,1398,763,1368,763,0.7666666666666667
23,5,918,652,977,794,947,794,0.7666666666666667
23,5,924,665,989,792,956,792,0.7666666666666667
24,2,236,704,338,866,287,866,0.8
24,3,1134,642,1241,789,1187,789,0.8
24,4,1334,627,1382,763,1358,763,0.8
24,5,921,668,991,786,956,786,0.8
25,2,250,704,357,863,303,863,0.8333333333333334
25,3,1127,644,1227,784,1177,784,0.8333333333333334
25,4,1324,628,1371,765,1347,765,0.8333333333333334
25,5,923,669,990,783,956,783,0.8333333333333334
25,2,253,704,324,856,288,856,0.8333333333333334
26,2,266,705,365,862,315,862,0.8666666666666667
26,3,1120,644,1210,776,1165,776,0.8666666666666667
26,4,1317,629,1366,764,1341,764,0.8666666666666667
26,5,924,673,984,781,954,781,0.8666666666666667
27,2,276,703,367,854,321,854,0.9
27,3,1109,643,1223,781,1166,781,0.9
27,4,1309,633,1374,770,1341,770,0.9
27,5,924,675,976,778,950,778,0.9
28,2,278,702,366,851,322,851,0.9333333333333333
28,3,1073,642,1205,778,1139,778,0.9333333333333333
28,4,1303,633,1383,775,1343,775,0.9333333333333333
29,2,278,702,371,851,324,851,0.9666666666666667
29,3,1060,643,1167,771,1113,771,0.9666666666666667
29,4,1294,634,1387,778,1340,778,0.9666666666666667
30,2,280,702,380,852,330,852,1.0
30,3,1057,645,1146,768,1101,768,1.0
30,4,1289,635,1372,774,1330,774,1.0
31,2,283,702,395,862,339,862,1.0333333333333334
31,3,1053,645,1141,770,1097,770,1.0333333333333334
31,4,1281,635,1364,774,1322,774,1.0333333333333334
31,3,1057,644,1176,776,1116,776,1.0333333333333334
32,2,287,700,406,864,346,864,1.0666666666666667
32,3,1043,644,1124,766,1083,766,1.0666666666666667
32,4,1272,633,1362,774,1317,774,1.0666666666666667
32,3,1045,645,1155,777,1100,777,1.0666666666666667
33,2,292,700,414,867,353,867,1.1
33,3,1031,643,1113,758,1072,758,1.1
33,4,1265,633,1362,777,1313,777,1.1
33,3,1031,643,1142,773,1086,773,1.1
34,2,327,701,403,853,365,853,1.1333333333333333
34,3,1030,643,1102,751,1066,751,1.1333333333333333
34,4,1261,633,1356,776,1308,776,1.1333333333333333
34,3,1021,643,1137,772,1079,772,1.1333333333333333
35,2,343,701,423,861,383,861,1.1666666666666667
35,3,1034,641,1092,754,1063,754,1.1666666666666667
35,4,1259,635,1352,776,1305,776,1.1666666666666667
35,3,1018,649,1130,770,1074,770,1.1666666666666667
35,5,938,662,995,753,966,753,1.1666666666666667
36,2,342,699,435,864,388,864,1.2
36,3,1016,638,1086,761,1051,761,1.2
36,4,1255,637,1345,774,1300,774,1.2
36,3,1015,638,1117,768,1066,768,1.2
36,5,939,652,996,755,967,755,1.2
37,2,356,697,438,862,397,862,1.2333333333333334
37,3,1008,633,1084,760,1046,760,1.2333333333333334
37,4,1251,638,1340,777,1295,777,1.2333333333333334
37,3,1013,633,1115,764,1064,764,1.2333333333333334
37,5,936,644,997,751,966,751,1.2333333333333334
38,2,366,692,439,858,402,858,1.2666666666666666
38,3,1005,626,1077,757,1041,757,1.2666666666666666
38,4,1244,638,1329,778,1286,778,1.2666666666666666
38,3,1013,631,1105,760,1059,760,1.2666666666666666
38,5,931,631,993,744,962,744,1.2666666666666666
39,2,376,689,444,853,410,853,1.3
39,3,1013,628,1071,743,1042,743,1.3
39,4,1237,639,1323,778,1280,778,1.3
39,3,1012,631,1103,759,1057,759,1.3
39,5,928,628,990,743,959,743,1.3
40,2,381,684,452,851,416,851,1.3333333333333333
40,3,1009,625,1071,745,1040,745,1.3333333333333333
40,4,1235,639,1320,779,1277,779,1.3333333333333333
40,3,1006,626,1100,761,1053,761,1.3333333333333333
40,5,924,622,990,745,957,745,1.3333333333333333
41,2,384,680,458,848,421,848,1.3666666666666667
41,3,1009,621,1070,751,1039,751,1.3666666666666667
41,4,1230,642,1313,779,1271,779,1.3666666666666667
41,3,1009,624,1104,764,1056,764,1.3666666666666667
41,5,922,620,991,748,956,748,1.3666666666666667
42,2,387,680,476,852,431,852,1.4
42,3,1011,612,1070,752,1040,752,1.4
42,4,1220,641,1308,781,1264,781,1.4
42,5,921,617,988,748,954,748,1.4
43,2,390,679,481,854,435,854,1.4333333333333333
43,3,1012,606,1064,750,1038,750,1.4333333333333333
43,4,1211,640,1301,780,1256,780,1.4333333333333333
43,5,916,618,984,749,950,749,1.4333333333333333
44,2,393,680,487,852,440,852,1.4666666666666666
44,3,1012,602,1063,749,1037,749,1.4666666666666666
44,4,1201,643,1294,776,1247,776,1.4666666666666666
44,5,914,620,977,752,945,752,1.4666666666666666
45,2,398,680,494,847,446,847,1.5
45,3,1013,601,1067,748,1040,748,1.5
45,4,1196,640,1295,779,1245,779,1.5
45,5,912,619,969,742,940,742,1.5
46,2,400,679,512,855,456,855,1.5333333333333334
46,3,1006,602,1066,744,1036,744,1.5333333333333334
46,4,1196,642,1293,779,1244,779,1.5333333333333334
46,5,909,620,972,753,940,753,1.5333333333333334
47,2,405,680,519,854,462,854,1.5666666666666667
47,3,1009,602,1064,739,1036,739,1.5666666666666667
47,4,1187,643,1288,780,1237,780,1.5666666666666667
47,5,908,621,971,756,939,756,1.5666666666666667
48,2,414,686,522,857,468,857,1.6
48,3,1005,602,1058,740,1031,740,1.6
48,4,1181,644,1281,782,1231,782,1.6
48,5,904,618,972,757,938,757,1.6
49,2,425,691,528,852,476,852,1.6333333333333333
49,3,1003,603,1056,739,1029,739,1.6333333333333333
49,4,1184,645,1275,781,1229,781,1.6333333333333333
49,5,899,623,964,752,931,752,1.6333333333333333
50,2,436,695,532,855,484,855,1.6666666666666667
50,3,1004,603,1054,738,1029,738,1.6666666666666667
50,4,1185,646,1272,785,1228,785,1.6666666666666667
50,5,889,631,964,752,926,752,1.6666666666666667
51,2,448,698,534,856,491,856,1.7
51,3,1004,605,1054,739,1029,739,1.7
51,4,1181,645,1264,786,1222,786,1.7
51,5,880,632,962,750,921,750,1.7
52,2,462,699,536,856,499,856,1.7333333333333334
52,3,1004,605,1064,740,1034,740,1.7333333333333334
52,4,1171,641,1258,786,1214,786,1.7333333333333334
52,5,878,633,959,753,918,753,1.7333333333333334
53,2,468,700,537,852,502,852,1.7666666666666666
53,3,1002,605,1073,738,1037,738,1.7666666666666666
53,4,1161,641,1255,787,1208,787,1.7666666666666666
53,5,876,633,955,756,915,756,1.7666666666666666
54,2,473,701,539,854,506,854,1.8
54,3,1002,605,1076,738,1039,738,1.8
54,4,1152,642,1248,789,1200,789,1.8
54,5,867,636,954,756,910,756,1.8
55,2,477,701,545,855,511,855,1.8333333333333333
55,3,1004,606,1075,736,1039,736,1.8333333333333333
55,4,1144,643,1232,779,1188,779,1.8333333333333333
55,5,860,636,953,757,906,757,1.8333333333333333
56,2,478,699,549,857,513,857,1.8666666666666667
56,3,1005,607,1069,735,1037,735,1.8666666666666667
56,4,1133,644,1226,778,1179,778,1.8666666666666667
56,5,851,636,954,761,902,761,1.8666666666666667
57,2,478,697,550,855,514,855,1.9
57,3,1006,607,1060,735,1033,735,1.9
57,4,1127,642,1221,781,1174,781,1.9
57,5,842,636,951,762,896,762,1.9
58,2,480,696,559,855,519,855,1.9333333333333333
58,3,1007,605,1056,733,1031,733,1.9333333333333333
58,4,1124,645,1211,780,1167,780,1.9333333333333333
58,5,833,636,939,760,886,760,1.9333333333333333
59,2,480,694,565,856,522,856,1.9666666666666666
59,3,1008,604,1063,733,1035,733,1.9666666666666666
59,4,1118,646,1180,773,1149,773,1.9666666666666666
59,5,822,634,926,759,874,759,1.9666666666666666
59,2,477,694,538,851,507,851,1.9666666666666666
60,2,481,693,569,858,525,858,2.0
60,3,1011,604,1062,735,1036,735,2.0
60,4,1095,646,1165,773,1130,773,2.0
60,5,813,637,910,760,861,760,2.0
60,2,477,693,534,853,505,853,2.0
61,2,480,693,572,863,526,863,2.033333333333333
61,3,1014,603,1062,732,1038,732,2.033333333333333
61,4,1080,648,1157,773,1118,773,2.033333333333333
61,5,804,639,897,761,850,761,2.033333333333333
61,2,477,692,538,860,507,860,2.033333333333333
62,3,1015,602,1065,732,1040,732,2.066666666666667
62,4,1073,648,1150,775,1111,775,2.066666666666667
62,5,794,637,887,760,840,760,2.066666666666667
62,2,476,693,532,853,504,853,2.066666666666667
63,3,1015,599,1075,738,1045,738,2.1
63,4,1077,644,1145,773,1111,773,2.1
63,5,784,635,889,763,836,763,2.1
63,2,476,693,532,852,504,852,2.1
63,2,479,694,570,858,524,858,2.1
64,3,1017,600,1080,739,1048,739,2.1333333333333333
64,4,1078,636,1139,776,1108,776,2.1333333333333333
64,5,778,635,883,767,830,767,2.1333333333333333
64,2,476,695,533,846,504,846,2.1333333333333333
64,2,477,696,569,852,523,852,2.1333333333333333
65,3,1016,604,1086,741,1051,741,2.1666666666666665
65,4,1081,630,1133,777,1107,777,2.1666666666666665
65,5,772,636,880,765,826,765,2.1666666666666665
65,2,476,697,534,845,505,845,2.1666666666666665
65,2,476,699,569,852,522,852,2.1666666666666665
66,3,1017,607,1087,739,1052,739,2.2
66,4,1083,617,1128,770,1105,770,2.2
66,5,775,640,868,766,821,766,2.2
66,2,476,700,536,848,506,848,2.2
67,3,1018,607,1089,743,1053,743,2.2333333333333334
67,4,1077,610,1125,770,1101,770,2.2333333333333334
67,5,766,641,849,766,807,766,2.2333333333333334
67,2,474,702,535,852,504,852,2.2333333333333334
68,3,1022,608,1092,750,1057,750,2.2666666666666666
68,4,1066,602,1123,768,1094,768,2.2666666666666666
68,5,756,641,833,767,794,767,2.2666666666666666
68,2,473,705,536,856,504,856,2.2666666666666666
69,3,1023,605,1107,755,1065,755,2.3
69,4,1058,599,1123,765,1090,765,2.3
69,5,748,642,822,769,785,769,2.3
69,2,471,708,539,860,505,860,2.3
70,4,1045,597,1115,757,1080,757,2.3333333333333335
70,5,736,644,810,768,773,768,2.3333333333333335
70,2,473,709,541,861,507,861,2.3333333333333335
71,4,1044,595,1106,745,1075,745,2.3666666666666667
71,5,719,643,803,766,761,766,2.3666666666666667
71,2,480,710,541,859,510,859,2.3666666666666667
72,4,1037,596,1107,746,1072,746,2.4
72,5,705,645,797,766,751,766,2.4
72,2,483,707,542,858,512,858,2.4
73,4,1038,598,1105,748,1071,748,2.433333333333333
73,5,695,645,794,769,744,769,2.433333333333333
73,2,487,705,545,857,516,857,2.433333333333333
74,4,1041,597,1103,752,1072,752,2.466666666666667
74,5,685,643,796,772,740,772,2.466666666666667
74,2,489,703,547,858,518,858,2.466666666666667
75,4,1042,592,1101,752,1071,752,2.5
75,5,676,643,799,773,737,773,2.5
75,2,491,702,547,853,519,853,2.5
76,4,1036,591,1100,755,1068,755,2.533333333333333
76,5,667,644,771,775,719,775,2.533333333333333
76,2,493,702,550,852,521,852,2.533333333333333
77,4,1031,590,1097,758,1064,758,2.566666666666667
77,5,665,645,756,780,710,780,2.566666666666667
77,2,494,704,555,852,524,852,2.566666666666667
77,3,1047,595,1102,757,1074,757,2.566666666666667
78,4,1025,592,1098,760,1061,760,2.6
78,5,658,644,743,780,700,780,2.6
78,2,496,708,562,858,529,858,2.6
78,3,1056,595,1104,754,1080,754,2.6
79,4,1017,594,1101,763,1059,763,2.6333333333333333
79,5,648,645,730,781,689,781,2.6333333333333333
79,2,497,710,567,857,532,857,2.6333333333333333
79,3,1062,594,1106,741,1084,741,2.6333333333333333
79,4,1007,623,1075,764,1041,764,2.6333333333333333
80,4,1017,598,1099,766,1058,766,2.6666666666666665
80,5,638,646,716,780,677,780,2.6666666666666665
80,2,499,712,576,860,537,860,2.6666666666666665
80,3,1064,597,1107,736,1085,736,2.6666666666666665
80,4,1006,620,1076,767,1041,767,2.6666666666666665
81,4,1012,605,1080,763,1046,763,2.7
81,5,628,645,711,783,669,783,2.7
81,2,501,713,572,856,536,856,2.7
81,3,1066,599,1108,731,1087,731,2.7
81,4,1005,617,1077,779,1041,779,2.7
82,5,620,644,678,773,649,773,2.7333333333333334
82,2,504,715,575,854,539,854,2.7333333333333334
82,3,1069,599,1114,729,1091,729,2.7333333333333334
82,4,1001,620,1080,782,1040,782,2.7333333333333334
83,5,610,644,658,769,634,769,2.7666666666666666
83,2,506,714,586,858,546,858,2.7666666666666666
